	  Time  	  x[0]  	  x[1]  	  x[2]  	  x[3]  	
	 0.00000 	 1.000000 	 0.200000 	 0.000000 	 0.000000 	
	 1.00000 	 0.896635 	 0.140382 	 0.059618 	 0.043748 	
	 2.00000 	 0.836106 	 0.140211 	 0.059789 	 0.104106 	
	 3.00000 	 0.780276 	 0.142872 	 0.057128 	 0.162596 	
	 4.00000 	 0.727316 	 0.145650 	 0.054350 	 0.218334 	
	 5.00000 	 0.677091 	 0.148397 	 0.051603 	 0.271307 	
	 6.00000 	 0.629546 	 0.151100 	 0.048900 	 0.321554 	
	 7.00000 	 0.584623 	 0.153748 	 0.046252 	 0.369125 	
	 8.00000 	 0.542257 	 0.156336 	 0.043664 	 0.414078 	
	 9.00000 	 0.502379 	 0.158855 	 0.041145 	 0.456477 	
	 10.00000 	 0.464909 	 0.161301 	 0.038699 	 0.496392 	
	 11.00000 	 0.429767 	 0.163668 	 0.036332 	 0.533901 	
	 12.00000 	 0.396866 	 0.165950 	 0.034050 	 0.569084 	
	 13.00000 	 0.366116 	 0.168145 	 0.031855 	 0.602029 	
	 14.00000 	 0.337424 	 0.170248 	 0.029752 	 0.632825 	
	 15.00000 	 0.310695 	 0.172259 	 0.027741 	 0.661563 	
	 16.00000 	 0.285835 	 0.174174 	 0.025826 	 0.688339 	
	 17.00000 	 0.262746 	 0.175993 	 0.024007 	 0.713248 	
	 18.00000 	 0.241333 	 0.177717 	 0.022283 	 0.736384 	
	 19.00000 	 0.221502 	 0.179346 	 0.020654 	 0.757845 	
	 20.00000 	 0.203159 	 0.180882 	 0.019118 	 0.777723 	
	 21.00000 	 0.186213 	 0.182325 	 0.017675 	 0.796112 	
	 22.00000 	 0.170577 	 0.183679 	 0.016321 	 0.813102 	
	 23.00000 	 0.156164 	 0.184947 	 0.015053 	 0.828783 	
	 24.00000 	 0.142893 	 0.186130 	 0.013870 	 0.843237 	
	 25.00000 	 0.130685 	 0.187234 	 0.012766 	 0.856549 	
	 26.00000 	 0.119464 	 0.188260 	 0.011740 	 0.868796 	
	 27.00000 	 0.109161 	 0.189214 	 0.010786 	 0.880053 	
	 28.00000 	 0.099706 	 0.190098 	 0.009902 	 0.890392 	
	 29.00000 	 0.091037 	 0.190916 	 0.009084 	 0.899879 	
	 30.00000 	 0.083093 	 0.191673 	 0.008327 	 0.908580 	
	 31.00000 	 0.075819 	 0.192372 	 0.007628 	 0.916553 	
	 32.00000 	 0.069162 	 0.193016 	 0.006984 	 0.923854 	
	 33.00000 	 0.063072 	 0.193610 	 0.006390 	 0.930537 	
	 34.00000 	 0.057505 	 0.194156 	 0.005844 	 0.936651 	
	 35.00000 	 0.052417 	 0.194658 	 0.005342 	 0.942240 	
	 36.00000 	 0.047770 	 0.195119 	 0.004881 	 0.947349 	
	 37.00000 	 0.043526 	 0.195542 	 0.004458 	 0.952016 	
	 38.00000 	 0.039653 	 0.195930 	 0.004070 	 0.956277 	
	 39.00000 	 0.036118 	 0.196285 	 0.003715 	 0.960167 	
	 40.00000 	 0.032894 	 0.196611 	 0.003389 	 0.963716 	
	 41.00000 	 0.029954 	 0.196909 	 0.003091 	 0.966955 	
	 42.00000 	 0.027273 	 0.197181 	 0.002819 	 0.969908 	
	 43.00000 	 0.024829 	 0.197430 	 0.002570 	 0.972601 	
	 44.00000 	 0.022602 	 0.197658 	 0.002342 	 0.975055 	
	 45.00000 	 0.020573 	 0.197865 	 0.002135 	 0.977292 	
	 46.00000 	 0.018725 	 0.198055 	 0.001945 	 0.979330 	
	 47.00000 	 0.017041 	 0.198228 	 0.001772 	 0.981187 	
	 48.00000 	 0.015508 	 0.198386 	 0.001614 	 0.982879 	
	 49.00000 	 0.014111 	 0.198530 	 0.001470 	 0.984419 	
	 50.00000 	 0.012840 	 0.198662 	 0.001338 	 0.985822 	
	 51.00000 	 0.011682 	 0.198782 	 0.001218 	 0.987099 	
	 52.00000 	 0.010629 	 0.198891 	 0.001109 	 0.988262 	
	 53.00000 	 0.009670 	 0.198990 	 0.001010 	 0.989321 	
	 54.00000 	 0.008797 	 0.199081 	 0.000919 	 0.990284 	
	 55.00000 	 0.008002 	 0.199164 	 0.000836 	 0.991161 	
	 56.00000 	 0.007280 	 0.199239 	 0.000761 	 0.991959 	
	 57.00000 	 0.006622 	 0.199307 	 0.000693 	 0.992686 	
	 58.00000 	 0.006023 	 0.199370 	 0.000630 	 0.993347 	
	 59.00000 	 0.005479 	 0.199427 	 0.000573 	 0.993948 	
	 60.00000 	 0.004983 	 0.199478 	 0.000522 	 0.994495 	
	 61.00000 	 0.004533 	 0.199525 	 0.000475 	 0.994993 	
	 62.00000 	 0.004123 	 0.199568 	 0.000432 	 0.995446 	
	 63.00000 	 0.003750 	 0.199607 	 0.000393 	 0.995858 	
	 64.00000 	 0.003410 	 0.199643 	 0.000357 	 0.996232 	
	 65.00000 	 0.003102 	 0.199675 	 0.000325 	 0.996573 	
	 66.00000 	 0.002821 	 0.199704 	 0.000296 	 0.996884 	
	 67.00000 	 0.002565 	 0.199731 	 0.000269 	 0.997166 	
	 68.00000 	 0.002333 	 0.199755 	 0.000245 	 0.997422 	
	 69.00000 	 0.002122 	 0.199777 	 0.000223 	 0.997656 	
	 70.00000 	 0.001930 	 0.199798 	 0.000202 	 0.997868 	
	 71.00000 	 0.001755 	 0.199816 	 0.000184 	 0.998061 	
	 72.00000 	 0.001596 	 0.199833 	 0.000167 	 0.998237 	
	 73.00000 	 0.001451 	 0.199848 	 0.000152 	 0.998396 	
	 74.00000 	 0.001320 	 0.199862 	 0.000138 	 0.998542 	
	 75.00000 	 0.001200 	 0.199874 	 0.000126 	 0.998674 	
	 76.00000 	 0.001092 	 0.199885 	 0.000115 	 0.998794 	
	 77.00000 	 0.000993 	 0.199896 	 0.000104 	 0.998903 	
	 78.00000 	 0.000903 	 0.199905 	 0.000095 	 0.999002 	
	 79.00000 	 0.000821 	 0.199914 	 0.000086 	 0.999093 	
	 80.00000 	 0.000747 	 0.199922 	 0.000078 	 0.999175 	
	 81.00000 	 0.000679 	 0.199929 	 0.000071 	 0.999250 	
	 82.00000 	 0.000617 	 0.199935 	 0.000065 	 0.999318 	
	 83.00000 	 0.000562 	 0.199941 	 0.000059 	 0.999380 	
	 84.00000 	 0.000511 	 0.199946 	 0.000054 	 0.999436 	
	 85.00000 	 0.000464 	 0.199951 	 0.000049 	 0.999487 	
	 86.00000 	 0.000422 	 0.199956 	 0.000044 	 0.999533 	
	 87.00000 	 0.000384 	 0.199960 	 0.000040 	 0.999576 	
	 88.00000 	 0.000349 	 0.199963 	 0.000037 	 0.999614 	
	 89.00000 	 0.000318 	 0.199967 	 0.000033 	 0.999649 	
	 90.00000 	 0.000289 	 0.199970 	 0.000030 	 0.999681 	
	 91.00000 	 0.000263 	 0.199972 	 0.000028 	 0.999710 	
	 92.00000 	 0.000239 	 0.199975 	 0.000025 	 0.999736 	
	 93.00000 	 0.000217 	 0.199977 	 0.000023 	 0.999760 	
	 94.00000 	 0.000197 	 0.199979 	 0.000021 	 0.999782 	
	 95.00000 	 0.000180 	 0.199981 	 0.000019 	 0.999802 	
	 96.00000 	 0.000163 	 0.199983 	 0.000017 	 0.999820 	
	 97.00000 	 0.000149 	 0.199984 	 0.000016 	 0.999836 	
	 98.00000 	 0.000135 	 0.199986 	 0.000014 	 0.999851 	
	 99.00000 	 0.000123 	 0.199987 	 0.000013 	 0.999864 	
	 100.00000 	 0.000112 	 0.199988 	 0.000012 	 0.999877 	
